Дата;Инн;КБК;Наименование КБК;Сальдо
01.05.2015;0277039181;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-1610
01.05.2015;0266019264;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-357
01.05.2015;0266019264;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-953
01.05.2015;0266019264;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-190
01.05.2015;0266016930;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-117,06
01.05.2015;0266016930;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-1499,8
01.05.2015;0266017235;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-115
01.05.2015;0266017235;18210907052040000110;Прочие местные налоги и сборы;-3624
01.05.2015;0266017235;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-3052
01.05.2015;0266017235;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-4690,49
01.05.2015;0266017235;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-594,11
01.05.2015;0266017235;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-286
01.05.2015;0266011402;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-62,66
01.05.2015;0266003360;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-256
01.05.2015;0266003360;18210905050010000110;Прочие товары(сырьё);-193,61
01.05.2015;0266003360;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-51,5
01.05.2015;0266003360;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-376,23
01.05.2015;0266003360;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-145,02
01.05.2015;0266003360;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-492,85
01.05.2015;0266003360;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-1083,9
01.05.2015;0266011339;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-2512,06
01.05.2015;0266011339;18210905010010000110;Задолженность по налогу на реализацию горюче-смазочных материалов;-2410,81
01.05.2015;0266002581;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-439,76
01.05.2015;0266007484;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-757
01.05.2015;0266010832;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-1267
01.05.2015;0266010832;18210907052040000110;Прочие местные налоги и сборы;-1763
01.05.2015;0266010832;18210908040080000140;Недоимка по взносам в Федеральный фонд обязательного медицинского страхования;-157,32
01.05.2015;0266010832;18210905050010000110;Прочие товары(сырьё);-123,4
01.05.2015;0266010832;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-12729,79
01.05.2015;0266010832;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-363,2
01.05.2015;0266010832;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-150,2
01.05.2015;0266010832;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-87,4
01.05.2015;0266010832;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-337
01.05.2015;0266002550;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-549,62
01.05.2015;0266003377;18210905050010000110;Прочие товары(сырьё);-510
01.05.2015;0266003377;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-2480,1
01.05.2015;0266003377;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-135,08
01.05.2015;0266003377;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-322,1
01.05.2015;0266003377;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-421,95
01.05.2015;0266003377;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-124,15
01.05.2015;0266004765;18210905050010000110;Прочие товары(сырьё);-116,8
01.05.2015;0266004765;18210907052040000110;Прочие местные налоги и сборы;-108,3
01.05.2015;0266004765;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-2103
01.05.2015;0266004765;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-167
01.05.2015;0266004765;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-694,15
01.05.2015;0266004765;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-2359,14
01.05.2015;0266004765;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-1800,91
01.05.2015;0266004765;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-1747,1
01.05.2015;0266004765;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-1198,6
01.05.2015;0266004765;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-145,36
01.05.2015;0266000344;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-241,52
01.05.2015;0266005504;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-2255,74
01.05.2015;0266005504;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-300,7
01.05.2015;0266003634;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-321
01.05.2015;0266004243;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-3180
01.05.2015;0266004243;18210907052040000110;Прочие местные налоги и сборы;-207,45
01.05.2015;0266004243;18210905050010000110;Прочие товары(сырьё);-249,65
01.05.2015;0266004243;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-1207
01.05.2015;0266004243;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-237,14
01.05.2015;0266004243;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-1643,9
01.05.2015;0266004243;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-1517,14
01.05.2015;0266004243;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-1987,41
01.05.2015;0266004243;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-584,78
01.05.2015;0266004243;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-17164,41
01.05.2015;0266004652;18210905050010000110;Прочие товары(сырьё);-119,71
01.05.2015;0266004652;18210907052040000110;Прочие местные налоги и сборы;-284,46
01.05.2015;0266004652;18210908040080000140;Недоимка по взносам в Федеральный фонд обязательного медицинского страхования;-149,04
01.05.2015;0266004652;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-1197
01.05.2015;0266004652;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-1380,04
01.05.2015;0266004652;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-83,04
01.05.2015;0266004652;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-282,22
01.05.2015;0266004652;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-215,44
01.05.2015;0266004652;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-43847,97
01.05.2015;0266004652;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-1556,93
01.05.2015;0266004652;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-82,8
01.05.2015;0266004652;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-1442
01.05.2015;0266011522;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-148
01.05.2015;0266011522;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-205,83
01.05.2015;0266016055;18210604011020000110;Транспортный налог с организаций;-3700
01.05.2015;0266016055;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-29092,88
01.05.2015;0266014227;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-102
01.05.2015;0277125218;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-985
01.05.2015;0266033389;18210501050010000110;Минимальный налог, зачисляемый в бюджеты субъектов Российской Федерации;0
01.05.2015;0266003507;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-19862
01.05.2015;0266003507;18210908040080000140;Недоимка по взносам в Федеральный фонд обязательного медицинского страхования;-2528,01
01.05.2015;0266003507;18210907052040000110;Прочие местные налоги и сборы;-1455,5
01.05.2015;0266003507;18210905050010000110;Прочие товары(сырьё);-1106,3
01.05.2015;0266003507;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-919
01.05.2015;0266003507;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-86,9
01.05.2015;0266003507;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-7429,76
01.05.2015;0266003507;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-5402
01.05.2015;0266003507;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-729,42
01.05.2015;0266002711;18210905050010000110;Прочие товары(сырьё);-182,18
01.05.2015;0266002711;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-992,78
01.05.2015;0266002711;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-56,4
01.05.2015;0266002711;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-213,96
01.05.2015;0266002711;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-280,27
01.05.2015;0266002711;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-82,47
01.05.2015;0266005790;18210901020040000110;Налог на прибыль организаций, зачисл в местный бюджет;-1078,14
01.05.2015;0266005790;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-3664,19
01.05.2015;0266005790;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-2797,15
01.05.2015;0266005790;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-259
01.05.2015;0266008079;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-600
01.05.2015;0277004301;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-72
01.05.2015;0242007245;18210502010020000110;Единый налог на вмененный доход для отдельных видов деятельности;-62120
01.05.2015;0266021094;18210602020020000110;Налог на имущество организаций, входящих в Единую систему газоснабжения;-28397
01.05.2015;0266021094;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-1188
01.05.2015;0266028692;18210602020020000110;Налог на имущество организаций, входящих в Единую систему газоснабжения;-37335
01.05.2015;0266007942;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-1465,63
01.05.2015;0266019070;18210301000010000110;НДС Налогового агента;-98
01.05.2015;0266015781;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-90
01.05.2015;0266018888;18210301000010000110;НДС Налогового агента;-133
01.05.2015;0266018944;18210604011020000110;Транспортный налог с организаций;-2520
01.05.2015;0266015439;18210301000010000110;НДС Налогового агента;-589
01.05.2015;0266015911;18210301000010000110;НДС Налогового агента;-62
01.05.2015;0266023038;18210301000010000110;НДС Налогового агента;-133
01.05.2015;0266017404;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-135
01.05.2015;0266019240;18210606032040000110;(Салават)Земельный налог с организаций, обладающих земельным участком, расположенным в границах городских округов;-39079
01.05.2015;0266028011;18210909010010000110;(НА) Единый социальный налог (взнос),зачисляемый в федеральный бюджет;-2252,97
01.05.2015;0266028011;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-1242
01.05.2015;0266028011;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-2889,47
01.05.2015;0266025998;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-1774
01.05.2015;0266025998;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-197
01.05.2015;0266018937;18210301000010000110;НДС Налогового агента;-67
01.05.2015;0266035548;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-265
01.05.2015;0266005303;18210905050010000110;Прочие товары(сырьё);-1750,47
01.05.2015;0266005303;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-361
01.05.2015;0266005303;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-13839,09
01.05.2015;0266005303;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-4803
01.05.2015;0266003296;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;-3801
01.05.2015;0266003296;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;-1426
01.05.2015;0266008583;18210907052040000110;Прочие местные налоги и сборы;-473,32
01.05.2015;0266008583;18210908040080000140;Недоимка по взносам в Федеральный фонд обязательного медицинского страхования;-450,33
01.05.2015;0266008583;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-146,2
01.05.2015;0266008583;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-260,99
01.05.2015;0266008583;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-3510,04
01.05.2015;0266008583;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-187,46
01.05.2015;0266008583;18210906010020000110;"Налог с продаж (в части сумм по расчетам за 2003 и погашения задолженности прошлых лет);";-1438,57
01.05.2015;0266003056;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-33850
01.05.2015;0266007910;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-100,61
01.05.2015;0266007910;18210908040080000140;Недоимка по взносам в Федеральный фонд обязательного медицинского страхования;-187,74
01.05.2015;0266007910;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-876
01.05.2015;0266007910;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-798,45
01.05.2015;0266007910;18210904030010000110;"Налог на пользователей автомобильных дорог (в части погашения задолженности прошлых лет);";-136,78
01.05.2015;0266007910;18210904010020000110;Налог на имущество предприятий (в части сумм, зачисляемых по расчетам за 2003 год, и погашения задолженности прошлых лет;-108
01.05.2015;0266007910;18210908060010000140;Недоимка , пени и штрафы по взносам в Гос. фонд занятости населения РФ, а также средства указанного Фонда, возвращаемые;-78,23
01.05.2015;0266007910;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-6032
01.05.2015;0266004620;18210908020060000140;Недоимка , пени, иные финансовые санкции по взносам  в  Пенсионный фонд  РФ;-247
01.05.2015;0266004620;18210908030070000140;Недоимка , пени и штрафы по взносам  в Фонд социального страхования РФ;-52
01.05.2015;0266008400;18210301000010000110;НДС Налогового агента;-186
01.05.2015;0266018969;18210301000010000110;НДС Налогового агента;-67
01.05.2015;0266021785;18210301000010000110;НДС Налогового агента;-52
01.05.2015;0266036929;18210301000010000110;НДС Налогового агента;-82,54
01.05.2015;0266022370;18210604011020000110;Транспортный налог с организаций;-500
01.05.2015;0266000104;18210907032040000110;Целевые сборы с граждан и предприятий, учреждений и организаций на содержание милиции, на благоустро;-280
01.05.2015;0266000104;18210906010020000110;"Налог с продаж (в части сумм по расчетам за 2003 и погашения задолженности прошлых лет);";-14069,93
01.05.2015;0266005230;18210604011020000110;Транспортный налог с организаций;0
01.05.2015;0266005230;18210301000010000110;НДС Налогового агента;-306
01.05.2015;0266005230;18210301000010000110;Налог на добавленную стоимость на товары, производимые на территории Российской Федерации;-4563578,55
01.05.2015;0266005230;18210909010010000110;(НА) Единый социальный налог (взнос),зачисляемый в федеральный бюджет;0
01.05.2015;0266005230;18210101011010000110;Налог на прибыль  организаций (резидентов), подлежащий уплате в федеральный бюджет;0
01.05.2015;0266005230;18210101012020000110;Налог на прибыль организаций (резиденто), подлежащий уплате в бюджет субъекта Российской Федерации;0
01.05.2015;0266005230;18210602010020000110;Налог на имущество организаций, за исключением имущества организаций, входящих в Единую систему газоснабжения;-422823,12
01.05.2015;0266005230;18210909030080000110;Единый социальный налог, зачисляемый в Федеральный фонд обязательного медицинского страхования;0
01.05.2015;0266006473;18210604011020000110;Транспортный налог с организаций;-56120
01.05.2015;0266006473;18210606032040000110;(Салават)Земельный налог с организаций, обладающих земельным участком, расположенным в границах городских округов;-58
01.05.2015;0266006473;18210501050010000110;Минимальный налог, зачисляемый в бюджеты субъектов Российской Федерации;-219804
01.05.2015;0266006473;18210301000010000110;НДС Налогового агента;-40025
